"id","scene","prompt","response","machine_decision","valid_output","finish_reason","latency_seconds","human_decision","reviewer_id","review_notes"
"1732","casual_chat","想听福寿草","但是她不会看片假名啊，她是罗马音战士！","R","True","stop","0.717927","","",""
"1733","casual_chat","不用了","什么，我说买点巧克力回去抽奖居然有人说不用了，哎不用客气啊不用客气我妈在讲电话，处理她的工作。对，这里有好多外国人，好多老外！这时候如果有一个会中文的外国人经过他就要说，你才是捞歪！hh","R","True","stop","1.350637","","",""
"1745","casual_chat","养生鸟","对啊，她很少喝这种东西的，并且她好像也不怎么喜欢喝甜的东西，还有杯薄荷森林我知道觉得薄荷森林还蛮好喝的啊。让我比较以外的是最后yousa还是鼓起勇气把荼生冻吃了，等过两天开播了再去听听她吃完的感受吧。","R","True","stop","0.599411","","",""
"1748","question_answer","膝盖怎么了 “喔，不小心摔了下”","米忽悠你坏事做尽","R","True","stop","0.880181","","",""
"1751","casual_chat","听到小天使念我名字吓下了一跳","那你是不是新的谁有啊？新人第一次送礼物被练到都会很激动一会儿……（其实是这位水友名字被念错过[hanser_滑稽]）","R","True","stop","0.651013","","",""
"1753","question_answer","为什么要把蟑螂抓到床上？（","什么奇怪的弹幕）","R","True","stop","0.762168","","",""
"1755","casual_chat","“下一个女人等着呢。”","“那下一个女人也不行啊，要是我就给你足够的自由。”","R","True","stop","0.55436","","",""
"1756","casual_chat","不会的啦！","不会？你就不能说可以嘛！就你懂，钢铁直男！ （发出了嫌弃的声音）看见有人预约人死后AI会模拟你在社交软件上的人格虚拟一个形象和亲人交流所以还是要注意言辞，别太直别到时候未来孙女和你形象说话孙女：我好想你啊。你来一句“在？来张色图” 多尴尬啊（确实那就不好了 憨宝？没事啊反正现实里我也会说来张se图也有人说这个设定反人类，不好我觉得不至于，各取所需好了还看到那个《环梦巡游记》说人会经历两次死亡第一次是生理死亡，第二次是消失在别人的记忆里","R","True","stop","0.788927","","",""
"1758","casual_chat","不会，这样挺好","“好，那我不弄了（逃）。”","R","True","stop","0.648989","","",""
"1761","casual_chat","浴巾快递员。","弹幕的形容太准确了wwww","R","True","stop","0.759413","","",""
"1765","casual_chat","不要在医生面前提百度","他是生气了是吧，膝盖有问题能看中医吗？","R","True","stop","0.705589","","",""
"1766","casual_chat","每天一只板鸭病毒远离我","出新版本了？","R","True","stop","0.64312","","",""
"1767","casual_chat","北方表示第一次见","本身就是南方的。汤圆是甜的我不服打一下，芝麻花生馅的实在遭不住，只是我个人实在接受不了甜汤圆味道。//草莓汤圆那种北方人也接受不了。 //但是我好喜欢黑芝麻的","R","True","stop","0.689383","","",""
"1773","casual_chat","真理好难抽","没有啊，二十发。","R","True","stop","0.64986","","",""
"1777","casual_chat","没有","有嘛？跟着我的节奏一起点点头？诶 这是什么歌啊 好熟啊我搜一下","R","True","stop","0.646943","","",""
"1779","casual_chat","憨不适合配大小姐","铁道里的鸭子 她除了名字叫bronya以外就完全没有bronya的样子后崩的鸭子感觉她变威严了 但是还是她 铁道里的就完全不像鸭子了希儿也完全不希儿了 感觉都像变了一个人 也不太黑希的","R","True","stop","0.665134","","",""
"1780","casual_chat","大鸭鸭都不叫芽衣姐姐了","还是会叫啊 心里嘀咕的时候会叫的因为铁道是另一个世界线嘛 说不定另一个世界线就有和你完全不一样的你其实我觉得70%是天生 30%是后天 说不定另一个我和我们完全不一样 但那70%还是会一样的因为我观察过刚生出来的婴儿 因为那个时候是集体产房嘛，你就会看到很多小孩 有些小孩会笑 有些小孩会很闹 每个小孩生出来就是不一样的","R","True","stop","0.7293","","",""
"1782","question_answer","你怎么知道","你去看看那些的片子嘛","R","True","stop","0.693779","","",""
"1785","casual_chat","音量增大了不需要助听器了","真的吗，我音量增大了就不需要助听器了，这么好不要去避讳 人类都有这些阴暗的地方 我就是想观察一下 展示出来吧人类！","R","True","stop","0.681068","","",""
"1791","question_answer","电脑不会进水吗","不会啊战渣浪，对对对！！那个时候新浪过审的很奇怪那个时候我传的时候，每天都要看下有没有消失，如果消失了就要替换源他能不能存活完全随机 那个时候真的很麻烦那个时候真的使用后黑来压码率 技术很古怪 但可以做到很高清从哪年开始b站可以传视频来着？大家当时都很震惊b站还是挺有心的 以前我从渣浪外联的他都存在本地了","R","True","stop","0.831999","","",""
"1792","casual_chat","七月份","bw应该会去吧~但是bml我不是很想去，但必需要去因为不上bml有些人可能有非议“为什么不让憨憨上，哼！”但其实我不想去的","R","True","stop","0.544503","","",""
"1793","question_answer","我是新人 主播好甜 主播是高中生吗","你什么意思 小学生 初中生 社畜女生 阿姨 奶奶就不能甜了吗！为什么主播甜就一定是高中生我有时候就看不懂这些弹幕，是在臊皮还是认真的网易云跟qq音乐同时打开，电脑会不会爆炸不知道你们经历过那个时代没有 360和qq管家天天打架 很恐怖 那是09还是10年","R","True","stop","0.542569","","",""
"1798","casual_chat","范围太小了","我不需要 我用的是线的 我买了哈 不好用你赔我（笑）","R","True","stop","0.541389","","",""
"1802","casual_chat","有没有可能是苹果手机问题","应该不会吧猜人物是怎么玩的啊","R","True","stop","0.516031","","",""
"1805","question_answer","憨色喝什么牌子的奶粉","我不喝奶粉，我重启试试","R","True","stop","0.673727","","",""
"1809","casual_chat","明年三月也是三月","没有啊 我不耍滑头 今年三月就是今年三月份，其实我基本上不做后期的嘛 就是流水账 剪完就发嘛但是我看二喵以往的那些联动的视频都是有做一点那种像综艺感的这种后期的 所以我觉得咱们还是做一下吧，然后她当时问我说 视频长度要多长嘛 我说你觉得呢？她说5-10分钟 我说：啊？我这边的观众可能会觉得太短了 因为我以往的vlog一般是半个小时一个小时所以我在想 这个时长要怎么控呢 太长了你们会不看吗","R","True","stop","0.587874","","",""
"1812","question_answer","发花絮吗？","不发花絮 从那三个机位挑素材挑的我头都快晕了但手法的话 我觉得她就比我强一点点 我表现没让她很失望","R","True","stop","0.680595","","",""
"1816","question_answer","江西哪里的","江西抚州（江西话）//什么万年不变问题","R","True","stop","0.604609","","",""
"1822","question_answer","左边那个是弹丸论破里的黑白熊吗","是的是的~应该是这个文件的问题 我重新下一遍试下 我看到这周的排行榜又有奇奇怪怪的东西","R","True","stop","0.636153","","",""
"1823","casual_chat","棉花糖应该是有机物","不是棉花糖呀 是棉花呀 为什么我要问这个问题呢//指标题：棉花能导电吗这个灯是个毛怪啊 它里面的话应该是有电线的吧 那这样子这个东西会不会漏电他使用上是否安全？我在想这个问题啊 现在的标题没有什么深意啊 我只在思考这个这个东西他使用上是否安全棉花本身是不导电的 是吧 里面是萤火虫吗 那不是很环保啊这个 萤火虫的话应该是发绿光啊","R","True","stop","0.875018","","",""
"1825","question_answer","你还想做成周边吗？","也不是不可以呀 我觉得大家可能没有没有这种需求//有的！电池款的吗 电池款的不会漏电什么吗 就是万一电路坏掉了什么的就可能会造成导电","R","True","stop","0.554179","","",""
"1826","casual_chat","毛怪因为憨开心到发光 憨竟然担心漏电","哈哈哈（sc：现在还能换拍立得吗 一直很期待）拍立得有个问题 其实不是我不让换了 拍立得充电器我在搬家捣腾东西的过程中充电器找不到了 我又觉得重新买一个比较浪费他那个原装的有点贵5分10分的 斗鱼可以换 b站不可以 这不是搞平台歧视哈毛怪抱枕？抱枕这个东西其实很难做出好的手感 而且你家里真的缺抱枕吗？ 你没发现 什么动漫 什么ip都在搞抱枕就拿我自己来说哈 我就床上放了一大堆商务抱枕 商务抱枕就是我合作过的那些那个厂商啊 就在想他们能不能搞点别的 我有个宗旨就是不要去做自己不会用的东西 睡都没地方睡了然后要丢吧又不好丢 然后摆在沙发上啊 那个餐椅上到处都是抱枕 其实我最不想做的就是抱枕","R","True","stop","0.561672","","",""
"1827","question_answer","为什么还没有弄手办","这个我之前回答过 简而言之就是做手办吃力不讨好 钢笔太小众了 反正钢笔是我不会做的东西 床上四件套我不会用卡通的 我一般用纯白的 一个是因为很朴实 看着舒服吧 睡觉就是这种洁净一片的感觉就好 还有一个是因为我拍照经常拿这个当背景不要催我出周边了 我开一个天选抽个挖耳勺好了 奖品数量我想想多少 30个吧我勋章等级设高一些 如果bw能顺利办 那么就设个摊 大家可以去展示自己的直播间牌子、自己的b站装扮啥的 免费送大家一些但是因为现在还没有开这个 现在比较稀缺嘛 我怕万一抽到不是我粉丝的人 去闲鱼上卖 我比较不想看到这种情况","R","True","stop","0.647793","","",""
"1836","casual_chat","首先你并不需要植发","总有人需要我分享的这些经验啊","R","True","stop","0.492742","","",""
"1841","casual_chat","这是脏话憨憨不要讲","因为我是后面学的 去讲脏话好像觉得不太脏","R","True","stop","0.740163","","",""
"1844","casual_chat","听憨色直播比我上网课还认真","你就不能认真上网课吗 你能不能想象一下 想象一下是憨色在给你上网课今天这个游戏叫做 我想把心脏交给你 是一个人类与机器人的故事啊作为一个主播 我还是非常喜欢观察人类的 今天呢就来观察一下机器人对 说到这个Hanser是机器人这回事啊 好像有位同学叫做 毕加索的猫 他好像找到了论证他想剪一个我唱的世末歌者那首歌的那个切片 但是我每次都会有不同程度的翻车所以他想通过好几次的录播拼成一首完整的不翻车的版本","R","True","stop","0.715023","","",""
"1845","casual_chat","麦克风跳红没关系 只要不是长时间","那如果10s跳红四五次正常吗对对对 就是这句话“如果手上没有剑 我就不能保护你。 如果我一直握着剑 我就无法抱紧你。”所以rap就可以边唱歌边说话是吧这是死神里的吧？死神里的谁说的吗","R","True","stop","0.863159","","",""
"1846","casual_chat","sc不是超级聊天而是醒目留言","在255它就叫超级聊天！对哈 我抱着你 你去搬砖 这就两全其美了对吧 两个人有四双手 诶？两个人有四只手吧//害怕 一个人有两双手","R","True","stop","0.8799","","",""
"1847","question_answer","喵帕斯是什么","刚才这首歌是一个番的ed 当中有个角色的口头禅就是“喵帕斯”当你想远离繁杂 想归隐田野 你可以去看看这部番那个番里的男主是不会说话的 无脸 全部都是女孩纸非常治愈，是治愈的乡村少女番~我去搞个龙角散等我下","R","True","stop","0.864618","","",""
"1849","casual_chat","真人版很难受","我一般是想看尬的才去看真人版的我一般是想去看尬的 就专门去看 越尬我觉得越爽我特别喜欢看真人版 特别是那些热门番火影为什么不出真人版？柯南为什么不出真人版？柯南如果有真人版 毛利兰的发型怎么还原","R","True","stop","0.93879","","",""
"1854","casual_chat","右键任务管理器找到进程然后前置","哦好的~桌面反应内心？那我心是空的？那你们内心是不是很乱这个画还是画的挺好的 没有看游戏名我都不知道怎么翻 我直接放游戏名好了什么高配版憨憨？什么鬼？ 我的人设跟她完全不一样！hanser的头发是交叉的好吧 我给你们讲下官方设定//比划起了头发到哪里一点都不像 光这个脑门的高度倒是挺像 这个交叉刘海明明显就不一样8年的hanser 谢谢你 你怎么这么能夸人啊 八年后我还能再次发育是吧？然后还这么年轻是吧？挺好的建议15岁以上观看 15禁肯定是不会有什么的//注明：以下内容为游戏环节，获得最佳观看体验请移步至录播，文转仅记录部分吐槽和部分的特定场景还原","R","True","stop","0.826077","","",""
"1855","casual_chat","手机也有辐射","但是手机的辐射太少了我觉得医生都这么说了 那有放射性肯定不好应该是拍的很久所以跟我说一下 我一声不吭 老老实实的做他说别的小朋友拍的时候都又吵又闹 我说我不是小朋友我很少听到别人叫我小朋友 再小都是青少年 可能是我穿的太土了","R","True","stop","0.792834","","",""
"1856","casual_chat","”男的去检查也检查出来这个","那是因为你太废宅了 肌肉不够","R","True","stop","0.605125","","",""
"1866","casual_chat","小孩子才做选择大人全都要","你全都吃是吧蟑螂有很多的病菌 而且你踩下去会爆浆啊 一脚一个","R","True","stop","0.618807","","",""
"1872","question_answer","什么时候跟大毛连麦","我什么时候要补时长我再跟她连麦 哪天我实在想不到播的内容 我就找她//jbf×2关于年龄限制这方面 严格一点是好事，可不可以脸纹识别 识别年龄不过一个礼拜玩1,2个小时确实少了 我觉得weekday可以1-2个小时 周末可以玩3个小时","R","True","stop","0.559726","","",""
"1879","question_answer","憨撒过慌吗","跟妈撒谎很多（接下来就是撒谎经典场景）张嘴就来","R","True","stop","0.673254","","",""
"1881","casual_chat","毛怪对hanser有多重要","是我的客户，是爸爸啊！大部分观众对主播是消遣的态度，我觉得很好；小部分把我当动力的，也挺好遇到开心的事情 他们为什么这么喜欢我啊 他们真是好好啊","R","True","stop","0.716556","","",""
"1882","question_answer","什么以怨报德","嘿嘿嘿嘿要脸啊就感觉自己的温柔有被看到的感觉hanser用的什么麦克风呢 是奶瓶吗 叫做babybottle","R","True","stop","0.440274","","",""
"1883","question_answer","憨色喜欢冬天吃冰棍吗","喜欢！真的有奶粉拌面 火鸡面里有芝士奶油味的 它里面有一包芝士粉 比寻常普通口味的好吃","R","True","stop","0.972159","","",""
"1904","casual_chat","我去找我爷爷？","爷爷做了什么你要这么为难他233，爷爷唱了起来。","R","True","stop","0.603801","","",""
"1905","question_answer","眼睛看不见可以换吗？","眼睛看不见还是让爷爷帮你换吧。失眠飞行，咱们可以唱晚安歌了哈，憨憨今天身体不适，疲软，就早点下播了哈。","R","True","stop","0.458999","","",""
"1906","casual_chat","这俩人都不看弹幕","确实hhhh，沉浸进去了Y：我去发个弹幕说一下//总之好像确实是阿b的锅Y：我看弹幕的，你不看是因为你眼里只有我~","R","True","stop","0.772189","","",""
"1910","casual_chat","会呛到","不是呛到，就是会喷，整桌子菜会变成就只有你一个人能吃了23333，就比如说做了一个青椒炒肉，做了一个西红柿炒蛋，你一个喷嚏打过去就变成了，青椒炒肉盖饭，西红柿炒蛋盖饭啊什么的哈哈哈哈哈 //[表情]盖青椒炒肉x","R","True","stop","0.770602","","",""
"1923","casual_chat","假的引流的","这种软件真的有用吗，就算我下载了，我反应过来也会卸载掉的，如果我给底下颁发了任务，然后底下用欺骗的方式骗人下载了，但是都没有留住用户用app，这样算任务完成嘛，这样有什么意义嘛。（","R","True","stop","0.634218","","",""
"1936","casual_chat","那怕要不是要好多集","是因为你玩的比较久啦，其实崩三的主线也没有很多的（憨憨带你一分钟回顾崩坏三主线）你看我这么一说几分钟就说了两三年的剧情了。","R","True","stop","0.492095","","",""
"1937","casual_chat","家教一开始想做日常番的","那是我为什么就突然改了鸭，是因为后面突然火了嘛？","R","True","stop","0.897289","","",""
"1939","casual_chat","谁家水壶开了","谁家水壶这样叫啊，水壶应该是（水壶.mp3）哎呀！我真的好吵啊，我自己麦返把自己伤到了","R","True","stop","0.559209","","",""
"1940","casual_chat","终于想不出来标题了","话说我之前在斗鱼的时候有想过不一样的标题嘛？我记得好像每天都是什么周一周三好什么的，","R","True","stop","0.52254","","",""
